id,title,genre,plot,imdbRating,Year,Country,Language
3678,"Man with the Golden Arm, The (1955)",Drama,A strung-out junkie deals with a demoralizing drug addiction while his crippled wife and card sharks pull him down.,7.5,1955,USA,English
3679,"Decline of Western Civilization, The (1981)",Documentary,"The Los Angeles punk music scene circa 1980 is the focus of this film. With Alice Bag Band, Black Flag, Catholic Discipline, Circle Jerks, Fear, Germs, and X.",7.7,1981,USA,English
3680,"Decline of Western Civilization Part II: The Metal Years, The (1988)",Documentary,"Documentary showcase, what life was like for the music artists living during the Los Angeles Heavy Metal scene in the mid and late 1980s.",7.3,1988,USA,English
3681,For a Few Dollars More (1965),Western,Two bounty hunters with the same intentions team up to track down a Western outlaw.,8.3,1965,"Italy, Spain, West Germany",Italian
3682,Magnum Force (1973),Western,Dirty Harry is on the trail of vigilante cops who are not above going beyond the law to kill the city's undesirables.,7.2,1973,USA,English
3683,Blood Simple (1984),Drama|Film-Noir,"A rich but jealous man hires a private investigator to kill his cheating wife and her new man. But, when blood is involved, nothing is simple.",7.7,1984,USA,"English, Spanish"
3684,"Fabulous Baker Boys, The (1989)",Drama|Romance,"The lives of two struggling musicians, who happen to be brothers, inevitably change when they team up with a beautiful, up-and-coming singer.",6.8,1989,USA,English
3685,Prizzi's Honor (1985),Comedy|Drama|Romance,A professional hit man and hit woman fall in love.,6.8,1985,USA,English
3686,Flatliners (1990),Thriller,"Four Medical students experiment on ""near death"" experiences that involve past tragedies until the dark consequences begin to jeopardize their lives.",6.6,1990,USA,English
3687,Light Years (1988),Sci-Fi,Four relationships spanning the four corners of the globe are put to the ultimate test when they learn the world may end in eight minutes - the duration of time it takes light to travel ...,8.2,2008,USA,"English, French, Cantonese"
3688,Porky's (1981),Comedy,"In 1954, a group of Florida high schoolers seek out to help their buddy lose his virginity, which leads them to seek revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them.",6.2,1981,"Canada, USA",English
3689,Porky's II: The Next Day (1983),Comedy,The naughty high schoolers of Angel Beach High now seek revenge on a group of KKK religious fanatics and corrupt politicians who want to shut down their Shakespeare production after they cast a Seminole transfer student in the lead.,4.9,1983,"Canada, USA",English
3690,Porky's Revenge (1985),Comedy,"As graduation nears for the class of 1955 at Angel Beach High, the gang once again faces off against their old enemy, Porky, who wants them to throw the school's championship basketball game because he's betting on the opposing team.",4.6,1985,"USA, Canada",English
3691,Private School (1983),Comedy,"Christine (Phoebe Cates), a student at an exclusive all-girls private school, is in love with Jim, who attends an academy for boys nearby. Christine's arch rival Jordan also has her eye on ...",5.2,1983,USA,English
3692,Class of Nuke 'Em High (1986),Comedy|Horror,The pupils at a high school next to a nuclear power plant start acting and looking strange after buying contaminated drugs from a plant worker.,5.6,1986,USA,English
3693,"Toxic Avenger, The (1985)",Comedy|Horror,Tromaville has a monstrous new hero. The Toxic Avenger is born when meek mop boy Melvin falls into a vat of toxic waste. Now evildoers will have a lot to lose.,6.2,1984,USA,English
3694,"Toxic Avenger, Part II, The (1989)",Comedy|Horror,"The Toxic Avenger is tricked into traveling to Tokyo to search for his estranged father, leaving Tromaville open to complete domination by an evil corporation.",5.1,1989,USA,"English, Japanese, Russian"
3695,"Toxic Avenger Part III: The Last Temptation of Toxie, The (1989)",Comedy|Horror,"Toxie finds he has nothing to do as a superhero, as he has ridden his city of evil. He decides to go to work for a major corporation, which he discovers may be the evilest of all his adversaries.",4.3,1989,USA,English
3696,Night of the Creeps (1986),Comedy|Horror|Sci-Fi,"Alien brain parasites, entering humans through the mouth, turn their host into a killing zombie. Some teenagers start to fight against them.",6.8,1986,USA,English
3697,Predator 2 (1990),Action|Sci-Fi|Thriller,"Amidst a territorial gang war in 1997, a sophisticated alien hunter stalks the citizens of Los Angeles and the only man between him and his prey is veteran L.A.P.D. officer, Lieutenant Mike Harrigan.",6.2,1990,USA,English
3698,"Running Man, The (1987)",Action|Adventure|Sci-Fi,A wrongly convicted man must try to survive a public execution gauntlet staged as a game show.,6.6,1987,USA,English
3699,Starman (1984),Adventure|Drama|Romance|Sci-Fi,An alien takes the form of a young widow's husband and asks her to drive him from Wisconsin to Arizona. The government tries to stop them.,7.0,1984,USA,English
3700,"Brother from Another Planet, The (1984)",Drama|Sci-Fi,A mute alien with the appearance of a black human is chased by outer-space bounty hunters through the streets of Harlem.,6.8,1984,USA,"English, Spanish"
3701,Alien Nation (1988),Crime|Drama|Sci-Fi,"A few years from now, Earth will have the first contact with an alien civilization. These aliens, known as Newcomers, slowly begin to be integrated into human society after years of quarantine.",6.3,1988,USA,English
3702,Mad Max (1979),Action|Sci-Fi,"In a self-destructing world, a vengeful Australian policeman sets out to stop a violent motorcycle gang.",7.0,1979,Australia,English
3703,Mad Max 2 (a.k.a. The Road Warrior) (1981),Action|Sci-Fi,,,,,
3704,Mad Max Beyond Thunderdome (1985),Action|Sci-Fi,"After being exiled from the most advanced town in post apocalyptic Australia, a drifter travels with a group of abandoned children to rebel against the town's queen.",6.2,1985,Australia,English
3705,Bird on a Wire (1990),Action|Adventure|Romance|Thriller,An old flame discovers her ex-boyfriend from the past is a relocated FBI informant out to stop the bad guys.,5.9,1990,USA,English
3706,Angel Heart (1987),Film-Noir|Mystery|Thriller,Harry Angel is a private investigator. He is hired by a man who calls himself Louis Cyphre to track down a singer called Johnny Favorite. But the investigation takes an unexpected and somber turn.,7.3,1987,"UK, Canada, USA","English, French"
3707,Nine 1/2 Weeks (1986),Drama,,,,,
3708,Firestarter (1984),Horror|Thriller,A couple who participated in a potent medical experiment gain telekinetic ability and then have a child who is pyrokinetic.,6.0,1984,USA,English
3709,Sleepwalkers (1992),Horror,A mother-and-son team of strange supernatural creatures move to a small town to seek out a young virgin to feed on.,5.2,1992,USA,English
3710,Action Jackson (1988),Action|Comedy,Vengence drives a tough Detroit cop to stay on the trail of a power hungry auto magnate who's systematically eliminating his competition.,5.2,1988,USA,English
3711,Sarafina! (1992),Drama,South African teenagers fight against apartheid in the Soweto Uprising.,6.4,1992,"South Africa, UK, France, USA","English, Zulu"
3712,Soapdish (1991),Comedy,"An ambitious TV soap actress connives with her producer to scuttle the career of the show's long-time star, but nothing works as they plan.",6.5,1991,USA,English
3713,"Long Walk Home, The (1990)",Drama,"Two women, black and white, in 1955 Montgomery Alabama, must decide what they are going to do in response to the famous bus boycott lead by Martin Luther King.",7.3,1990,USA,English
3714,Clara's Heart (1988),Drama,David is a teenager whose parents are in a deteriorating marriage after their infant daughter dies. Clara is a chambermaid at a Jamaican resort who's hired to be a housekeeper. She and ...,6.3,1988,USA,English
3715,Burglar (1987),Comedy,"Bernice ""Bernie"" Rhodenbarr is a burglar by trade, and she runs a bookstore as well. Her friend Carl Hefler is a dog groomer. After a successful burglary, it's discovered that a dead body ...",5.0,1987,"Canada, USA",English
3716,Fatal Beauty (1987),Action|Crime,"Rita Rizzoli is a narcotics police officer with a plethora of disguises. When a drug shipment is hijacked, the thieves don't know that the drug is unusually pure and packs of ""Fatal Beauty""...",5.3,1987,"USA, Japan",English
3717,Gone in 60 Seconds (2000),Action|Crime,N/A,7.1,2000,USA,English
3718,American Pimp (1999),Documentary,"Street pimps, all of them African-American, discuss their lives and work: getting started, being flamboyant, pimping in various U.S. cities, bringing a woman into their group, taking a ...",6.6,1999,USA,English
3719,Love's Labour's Lost (2000),Comedy|Romance,"An update of the classic Shakespeare story, director Kenneth Branagh shot this movie like a classic 30s musical. The film tells the story of four best friends who swear off love.",6.1,2000,"UK, France, USA",English
3720,Sunshine (1999),Drama,The fate of a Hungarian Jewish family throughout the 20th century.,7.5,1999,"Germany, Austria, Canada, Hungary, France","English, French"
3721,Trixie (1999),Comedy,"An eccentric, unconventional woman whose naive aspirations to rise from her job as a security guard to full-fledged private eye lead her into a tangled PL: mess.",5.0,2000,USA,English
3722,Live Virgin (1999),Comedy,"A woman, fed up with her father's double standards, decides to lose her virginity.",3.6,1999,"France, USA",English
3723,Hamlet (1990),Drama,"Hamlet, Prince of Denmark, finds out that his uncle Claudius killed his father to obtain the throne, and plans revenge.",6.8,1990,"USA, UK, France",English
3724,Coming Home (1978),Drama|War,A woman whose husband is fighting in Vietnam falls in love with another man who suffered a paralyzing combat injury there.,7.3,1978,USA,English
3725,American Pop (1981),Animation|Musical,The story of four generations of a Russian Jewish immigrant family of musicians whose careers parallel the history of American popular music in the 20th century.,7.2,1981,USA,"English, Hebrew, Russian, Yiddish"
3726,Assault on Precinct 13 (1976),Action|Thriller,A police sergeant and an unlikely band of criminals defend a closing LA precinct office on New Years Eve against an army of gang members.,7.4,1976,USA,English
3727,Near Dark (1987),Comedy|Horror,A small-town farmer's son reluctantly joins a traveling group of vampires after he is turned by a beautiful drifter.,7.0,1987,USA,English
3728,One False Move (1991),Thriller,A small town police chief awaits the arrival of a gang of killers.,7.2,1992,USA,English
3729,Shaft (1971),Action|Crime,Cool black private eye John Shaft is hired by a crime lord to find and retrieve his kidnapped daughter.,6.6,1971,USA,English
3730,"Conversation, The (1974)",Drama|Mystery,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that a couple he is spying on will be murdered.",7.9,1974,USA,English
3731,Cutter's Way (1981),Drama|Thriller,"Richard spots a man dumping a body, and decides to expose the man he thinks is the culprit with his friend Alex Cutter.",6.9,1981,USA,English
3732,"Fury, The (1978)",Horror,A government agent is determined to come to his son's rescue when a sinister official kidnaps him to harbor his extremely powerful psychic abilities.,6.4,1978,USA,English
3733,"Paper Chase, The (1973)",Drama,A first-year law student at Harvard Law School struggles with balancing his coursework and his relationship with the daughter of his sternest professor.,7.2,1973,USA,"English, Latin"
3734,Prince of the City (1981),Drama,"A New York City narcotics detective reluctantly agrees to cooperate with a special commission investigating police corruption. However, he soon discovers that he's in over his head, and nobody can be trusted.",7.7,1981,USA,"English, Spanish, Italian"
3735,Serpico (1973),Crime|Drama,The true story about an honest New York cop who blew the whistle on rampant corruption in the force only to have his comrades turn against him.,7.8,1973,"Italy, USA","English, Italian, Spanish"
3736,"Big Carnival, The (1951)",Drama,,,,,
3737,Lonely Are the Brave (1962),Drama|Western,A fiercely independent cowboy arranges to have himself locked up in jail in order to then escape with an old friend who has been sentenced to the penitentiary.,7.7,1962,USA,"English, Spanish"
3738,"Sugarland Express, The (1974)",Drama,A woman attempts to reunite her family by helping her husband escape prison and together kidnapping their son. But things don't go as planned when they are forced to take a police hostage on the road.,6.8,1974,USA,English
3739,Trouble in Paradise (1932),Comedy|Romance,A gentleman thief and a lady pickpocket join forces to con a beautiful perfume company owner. Romantic entanglements and jealousies confuse the scheme.,8.2,1932,USA,"English, Italian, Russian, Spanish, German"
3740,Big Trouble in Little China (1986),Action|Comedy,An All-American trucker gets dragged into a centuries-old mystical battle in Chinatown.,7.3,1986,USA,"English, Cantonese"
3741,Badlands (1973),Crime|Drama,An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,7.9,1973,USA,"English, Spanish"
3742,"Battleship Potemkin, The (Bronenosets Potyomkin) (1925)",Drama|War,A dramatized account of a great Russian naval mutiny and a resulting street demonstration which brought on a police massacre.,8.0,1925,Soviet Union,Russian
3743,Boys and Girls (2000),Comedy|Romance,A friendship is put to the ultimate test when two best friends wind up in bed together.,5.3,2000,USA,English
3744,Shaft (2000),Action|Crime,New York City police detective John Shaft (nephew of the original 1970s detective) goes on a personal mission to make sure the son of a real estate tycoon is brought to justice after a racially-motivated murder.,5.9,2000,"Germany, USA","English, German, Spanish"
3745,Titan A.E. (2000),Adventure|Animation|Sci-Fi,A young man learns that he has to find a hidden Earth ship before an enemy alien species does in order to secure the survival of humanity.,6.6,2000,USA,"English, Mandarin"
3746,Butterfly (La Lengua de las Mariposas) (2000),Drama|War,"This documentary, which first aired on public television in 2000, chronicles environmental activist Julia ""Butterfly"" Hill's 738 day tree-sit in the ancient redwood tree she named Luna.",7.2,2000,USA,English
3747,Jesus' Son (1999),Drama,A young man turns from drug addiction and petty crime to a life redeemed by a discovery of compassion.,7.0,1999,"USA, Canada",English
3748,"Match, The (1999)",Comedy|Romance,"Two Scottish pub football teams play each other in order to resolve a century-old grudge, with the prize for the winning team being the other team's pub.",6.2,1999,UK,English
3749,Time Regained (Le Temps Retrouv�) (1999),Drama,"A lush, elegant epic taking us on a time-swirling trip down the infinitely complex labyrinth that is Marcel Proust's memory lane.",6.8,1999,"France, Italy, Portugal",French
3750,Boricua's Bond (2000),Drama,"Can a young person in the South Bronx pursue a dream that isn't tied to crime, gang-banging, prostitution, violence, and racism? Tommy is a natural leader and a gifted artist. When Allen, a...",3.7,2000,USA,English
3751,Chicken Run (2000),Animation|Children's|Comedy,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",7.0,2000,"UK, USA, France",English
3752,"Me, Myself and Irene (2000)",Comedy,A nice-guy cop with dissociative identity disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.,6.5,2000,USA,"English, German"
3753,"Patriot, The (2000)",Action|Drama|War,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,7.1,2000,"USA, Germany",English
3754,"Adventures of Rocky and Bullwinkle, The (2000)",Animation|Children's|Comedy,,,,,
3755,"Perfect Storm, The (2000)",Action|Adventure|Thriller,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.,6.4,2000,USA,English
3756,"Golden Bowl, The (2000)",Drama,A man marries an heiress for her money even though he is actually in love with her friend.,5.9,2000,"USA, France, UK",English
3757,Asylum (1972),Horror,"In order to secure a job at a mental institution, a young psychiatrist must interview four patients inside the asylum.",6.5,1972,UK,English
3758,Communion (1989),Drama|Sci-Fi|Thriller,"Whitley Strieber goes with his family and some friends to his holiday home in the forest. They experience some weird occurances, are they UFO activity? Whitley is abducted and then faces a ...",5.7,1989,"USA, UK",English
3759,Fun and Fancy Free (1947),Animation|Children's|Musical,N/A,7.3,1997,USA,English
3760,"Kentucky Fried Movie, The (1977)",Comedy,"A series of short, highly irreverent, and often tasteless skits.",6.5,1977,USA,"English, Korean"
3761,"Blood In, Blood Out (a.k.a. Bound by Honor) (1993)",Crime|Drama,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on half-brothers Paco and Cruz, and their bi-racial cousin Miklo. It opens in 1972, as the three are members...",8.0,1993,USA,"English, Spanish, Arabic"
3762,Daughter of Dr. Jeckyll (1957),Horror,,,,,
3763,F/X (1986),Action|Crime|Thriller,"A movie special effects man is hired to fake a real-life mob killing for a witness protection plan, but finds his own life in danger.",6.7,1986,USA,English
3764,F/X 2 (1992),Action|Crime|Thriller,N/A,N/A,1993,N/A,N/A
3765,"Hot Spot, The (1990)",Drama|Romance,"When the drifter Harry Madox reaches a small town in Texas, he gets a job as used car salesman with the dealer George Harshaw and settles down in a hotel room. During a fire, Harry observes...",6.4,1990,USA,English
3766,Missing in Action (1984),Action|War,Braddock launches a mission deep into the jungles of Vietnam to find the POW camp that he escaped from and free the Americans still held captive there.,5.3,1984,USA,"English, Vietnamese"
3767,Missing in Action 2: The Beginning (1985),Action|War,"Prequel to the first Missing In Action, set in the early 1980s it shows the capture of Colonel Braddock during the Vietnam war in the 1970s, and his captivity with other American POWs in a brutal prison camp, and his plans to escape.",5.2,1985,USA,"English, Vietnamese"
3768,Braddock: Missing in Action III (1988),Action|War,Braddock mounts a one-man assault to free his wife and son who are still being held in a Vietnam prison camp.,4.7,1988,USA,English
3769,Thunderbolt and Lightfoot (1974),Action,"With the help of an irreverent young sidekick, a bank robber gets his old gang back together to organize a daring new heist.",7.1,1974,USA,English
3770,Dreamscape (1984),Adventure|Crime|Sci-Fi|Thriller,A young psychic on the run from himself is recruited by a government agency experimenting with the use of the dream-sharing technology and is given the inverse task of planting an idea into the mind of the U.S. president.,6.3,1984,USA,English
3771,"Golden Voyage of Sinbad, The (1974)",Action|Adventure,"Sinbad and his crew intercept a homunculus carrying a golden tablet. Koura, the creator of the homunculus and practitioner of evil magic, wants the tablet back and pursues Sinbad. Meanwhile...",6.8,1973,"UK, USA","English, Arabic"
3772,Hatchet For the Honeymoon (Rosso Segno Della Follia) (1969),Horror,,,,,
3773,House Party (1990),Comedy,"Young Kid has been invited to a party at his friend Play's house. But after a fight at school, Kid's father grounds him. None the less, Kid sneaks out when his father falls asleep. But Kid ...",6.3,1990,USA,English
3774,House Party 2 (1991),Comedy,"When Kid's college money is stolen by a crooked music promoter, Play's solution is to stage the 'mutha' of all pajama parties. Starring Kid 'n Play and Martin Lawrence.",5.1,1991,USA,English
3775,Make Mine Music (1946),Animation|Children's|Musical,Animation done to contemporary popular music.,6.4,1946,USA,English
3776,Melody Time (1948),Animation|Children's|Musical,An anthology of animated vignettes set to contemporary music.,6.5,1948,USA,English
3777,Nekromantik (1987),Comedy|Horror,"A street sweeper who cleans up after grisly accidents brings home a full corpse for him and his wife to enjoy sexually, but is dismayed to see that his wife prefers the corpse over him.",5.1,1987,West Germany,German
3778,On Our Merry Way (1948),Comedy|Drama,Three short stories revolving around the topic of the daily question posed by the roving reporter to the readers of a daily newspaper.,6.0,1948,USA,English
3779,Project Moon Base (1953),Sci-Fi,A saboteur posing as a scientist strives to destroy the world's first space station.,2.8,1953,USA,English
3780,Rocketship X-M (1950),Sci-Fi,An astronaut crew on their way to the Moon are unexpectedly propelled by gravitational forces and end up on Mars instead.,4.9,1950,USA,English
3781,Shaft in Africa (1973),Action|Crime,P.I. John Shaft is recruited to go undercover to break up a modern slavery ring where young Africans are lured to Paris to do chain-gang work.,5.9,1973,USA,English
3782,Shaft's Big Score! (1972),Action|Crime,Shaft is back to find the murderer of an old friend on the cold hard city streets with a little help from his new friends.,6.1,1972,USA,English
3783,Croupier (1998),Crime|Drama,"An aspiring writer is hired as a croupier at a casino, where he realizes that his life as a croupier would make a great novel.",7.2,1998,"Ireland, UK, France, Germany",English
3784,"Kid, The (2000)",Comedy,An unhappy and disliked image consultant gets a second shot at life when an eight year old version of himself mysteriously appears.,6.1,2000,USA,English
3785,Scary Movie (2000),Comedy|Horror,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",6.2,2000,USA,English
3786,But I'm a Cheerleader (1999),Comedy,A naive teenager is sent to rehab camp when her straitlaced parents and friends suspect her of being a lesbian.,6.6,1999,USA,English
3787,Shower (Xizhao) (1999),Comedy,"Shenzhen businessman, Da Ming, goes home to Beijing when he thinks his father has died. He finds his father hard at work at the family's bathhouse (the false message was a ruse of Da's ...",7.5,1999,China,"Mandarin, Italian"
3788,Blowup (1966),Drama|Mystery,N/A,N/A,2009,USA,English
3789,"Pawnbroker, The (1965)",Drama,"A Jewish pawnbroker, victim of Nazi persecution, loses all faith in his fellow man until he realizes too late the tragedy of his actions.",7.8,1964,USA,"English, Spanish, German"
3790,Groove (2000),Drama,An inside look into one night in the San Francisco underground rave scene.,6.5,2000,USA,English
3791,Footloose (1984),Drama,"A city teenager moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace.",6.5,1984,USA,English
3792,Duel in the Sun (1946),Western,"Beautiful half-breed Pearl Chavez becomes the ward of her dead father's first love and finds herself torn between her sons, one good and the other bad.",6.9,1946,USA,English
3793,X-Men (2000),Action|Sci-Fi,Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers.,7.4,2000,USA,English
3794,Chuck & Buck (2000),Comedy|Drama,"A psychological thriller that takes place in the mid-60's ""Chuck"" is a darkly comic tale of a door-to-door salesman and his mysterious obsession. You see, Chuck isn't really selling ...",5.8,2000,USA,English
3795,"Five Senses, The (1999)",Drama,"Interconnected stories examine situations involving the five senses. Touch is represented by a massage therapist who is treating a woman, while her daughter accidentally loses the woman's ...",6.8,1999,Canada,"French, English, Italian"
3796,"Wisdom of Crocodiles, The (a.k.a. Immortality) (2000)",Romance|Thriller,,,,,
3797,"In Crowd, The (2000)",Thriller,"A mentally disturbed young woman takes a job at a posh country club and falls in with a clique of wealthy college kids where she's taken under the wing of the clique's twisted leader, who harbors some dark secrets too terrifying to tell.",4.6,2000,USA,English
3798,What Lies Beneath (2000),Thriller,The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,6.6,2000,USA,English
3799,Pok�mon the Movie 2000 (2000),Animation|Children's,,,,,
3800,Criminal Lovers (Les Amants Criminels) (1999),Drama|Romance,"After a perverted impulse drives them to kill, Alice and her boyfriend, Luc, drag the body into the woods, only to find themselves hopelessly lost - much like the fairy-tale plight of ...",6.6,1999,France,French
3801,Anatomy of a Murder (1959),Drama|Mystery,"In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?",8.1,1959,USA,English
3802,Freejack (1992),Action|Sci-Fi,"Bounty hunters from the future transport a doomed race-car driver to New York in 2009, where his mind will be replaced with that of a dead billionaire.",5.3,1992,USA,English
3803,Greaser's Palace (1972),Drama,"A parable based on the life of Christ. This ain't your father's Bible story, full of references about the destruction of the world through massive constipation and a New Mexican setting.",6.1,1972,USA,English
3804,H.O.T.S. (1979),Comedy,"College exploitation film focusing on the wild escapades of the women of H.O.T.S. Sorority. The antics include but are certainly not limited to a wet t-shirt contest, a sky-diving episode, ...",4.2,1979,USA,English
3805,Knightriders (1981),Action|Adventure|Drama,"A medieval reenactment troupe find it increasingly difficult to keep their family-like group together, with pressure from local law enforcement, interest from entertainment agents and a growing sense of delusion from their leader.",6.4,1981,USA,English
3806,MacKenna's Gold (1969),Western,"A bandit kidnaps a Marshal who has seen a map showing a gold vein on Indian lands, but other groups are looking for it too, while the Apache try to keep the secret location undisturbed.",6.8,1969,USA,English
3807,Sinbad and the Eye of the Tiger (1977),Action|Adventure,Sinbad The Sailor sails to deliver a cursed prince to a dangerous island in the face of deadly opposition from a powerful witch.,6.4,1977,"UK, USA","English, Arabic"
3808,Two Women (La Ciociara) (1961),Drama|War,"In the Italy of WWII, a widow and her lonely daughter seek for distance between them and the horrors of war.",7.9,1960,"Italy, France","Italian, German"
3809,What About Bob? (1991),Comedy,"A successful psychotherapist loses his mind after one of his most dependent patients, an obsessive-compulsive neurotic, tracks him down during his family vacation.",7.0,1991,USA,English
3810,White Sands (1992),Drama|Thriller,"A small southwestern town sheriff finds a body in the desert with a suitcase and $500,000. He impersonates the man and stumbles into an FBI investigation.",6.0,1992,USA,English
3811,Breaker Morant (1980),Drama|War,Three Australian lieutenants are court martialed for executing prisoners as a way of deflecting attention from war crimes committed by their superior officers.,7.9,1980,Australia,"English, Afrikaans"
3812,Everything You Always Wanted to Know About Sex (1972),Comedy,"Seven segments related to one another only in that they all purport to be based on sections of the book by David Reuben. The segments range from ""Do Aphrodisiacs Work?"" in which a court ...",6.8,1972,USA,"English, Italian"
3813,Interiors (1978),Drama,"Three sisters find their lives spinning out of control in the wake of their parents' sudden, unexpected divorce.",7.5,1978,USA,English
3814,Love and Death (1975),Comedy,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",7.8,1975,USA,English
3816,"Official Story, The (La Historia Oficial) (1985)",Drama,"After the end of the Dirty War, a high school teacher sets out to find out who the mother of her adopted daughter is.",7.8,1985,Argentina,"Spanish, English"
3817,"Other Side of Sunday, The (S�ndagsengler) (1996)",Comedy|Drama,"The Other Side of Sunday, Also known in Norwegian as ""Sndags Engler"", is a movie that criticizes the small, and often tight church community. We follow the Preachers Daughter; Maria in her ...",7.1,1996,Norway,Norwegian
3818,Pot O' Gold (1941),Comedy|Musical,"Jimmy, the owner of a failed music shop, goes to work with his uncle, the owner of a food factory. Before he gets there, he befriends an Irish family who happens to be his uncle's worst ...",6.0,1941,USA,English
3819,Tampopo (1986),Comedy,N/A,N/A,1986,Japan,Japanese
3820,Thomas and the Magic Railroad (2000),Children's,"Mr. Conductor's supply of magic gold dust, which allows him to travel between Shining Time and Thomas's island, is critically low. Unfortunately, he doesn't know how to get more. Meanwhile,...",3.7,2000,"UK, USA, Canada",English
3821,Nutty Professor II: The Klumps (2000),Comedy,"Scientist Sherman Klump's inventions, his upcoming marriage to his pretty colleague Denise Gaines and his reputation are threatened by his evil clone Buddy Love.",4.3,2000,USA,English
3822,"Girl on the Bridge, The (La Fille sur le Pont) (1999)",Drama|Romance,"It's night on a Paris bridge. A girl leans over Seine River with tears in her eyes and a violent yearning to drown her sorrows. Out of nowhere someone takes an interest in her. He is Gabor,...",7.6,1999,France,"French, Italian, Greek"
3823,Wonderland (1999),Drama,"There's little wonder in the working-class lives of Bill, Eileen, and their three grown daughters. They're lonely Londoners. Nadia, a cafe waitress, places personal ads, looking for love; ...",7.2,1999,UK,English
3824,Autumn in New York (2000),Drama|Romance,"Romantic drama about an aging playboy who falls for a sweet, but terminally ill, young woman.",5.5,2000,USA,English
3825,Coyote Ugly (2000),Drama,"Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.",5.6,2000,USA,English
3826,Hollow Man (2000),Horror|Sci-Fi|Thriller,"Scientists discover how to make people invisible, but their test subject becomes an insane killer who stalks them.",5.7,2000,"USA, Germany",English
3827,Space Cowboys (2000),Action|Sci-Fi,"When a retired engineer is called upon to rescue a failing satellite, he insists that his equally old teammates accompany him into space.",6.4,2000,USA,English
3828,Better Living (1998),Comedy,"Three grown daughters try to find their own personal ways to deal with their dysfunctional parents. The mother is an unorthodox woman with out-of-the-ordinary ideas, including one where she...",4.6,1998,USA,English
3829,Mad About Mambo (2000),Comedy|Romance,"A Catholic high school student, trying to perfect his soccer timing by practicing dance, falls in love with his dance partner.",6.0,2000,"Ireland, UK",English
3830,Psycho Beach Party (2000),Comedy|Horror|Thriller,"Spoof of 1960's Beach Party/Gidget surfing movies mixed with slasher horror films stars Lauren Ambrose as Florence Forrest, a not-so-innocent girl in 1960's Malibu who becomes ""Chicklet"" ...",6.3,2000,"Australia, USA",English
3831,Saving Grace (2000),Comedy,"A small-town English widow, facing financial troubles after her husband's suicide, turns to agriculture of an illegal kind.",6.9,2000,UK,"English, French"
3832,"Black Sabbath (Tre Volti Della Paura, I) (1963)",Horror,A trio of atmospheric horror tales about: A woman terrorized in her apartment by phone calls from an escaped prisoner from her past; a Russian count in the early 1800s who stumbles upon a ...,7.2,1963,"Italy, France, USA",Italian
3833,"Brain That Wouldn't Die, The (1962)",Horror|Sci-Fi,"A doctor experimenting with transplant techniques keeps his girlfriend's head alive when she is decapitated in a car crash, then goes hunting for a new body.",4.1,1962,USA,English
3834,Bronco Billy (1980),Adventure|Drama|Romance,"An idealistic, modern-day cowboy struggles to keep his Wild West show afloat in the face of hard luck and waning interest.",6.0,1980,USA,English
3835,"Crush, The (1993)",Thriller,"A journalist becomes the unwanted center of attention for a 14-year-old girl, who proceeds to sabotage his life after he refuses her sexual advances.",5.7,1993,USA,English
3836,Kelly's Heroes (1970),Action|Comedy|War,A group of U.S. soldiers sneaks across enemy lines to get their hands on a secret stash of Nazi treasure.,7.7,1970,USA,"English, French, German"
3837,Phantasm II (1988),Horror,"Mike, now released from a psychiatric hospital, continues his journey to stop the evil Tall Man from his grim work.",6.5,1988,USA,English
3838,Phantasm III: Lord of the Dead (1994),Horror,Mike and Reggie continue to hunt the mysterious Tall Man.,6.1,1994,USA,English
3839,Phantasm IV: Oblivion (1998),Horror,Mike travels through time and dimensions to find the Tall Man's origins.,5.7,1998,USA,English
3840,Pumpkinhead (1988),Horror,"After a tragic accident, a man conjures up a towering, vengeful demon called Pumpkinhead to destroy a group of unsuspecting teenagers.",6.2,1988,USA,English
3841,Air America (1990),Action|Comedy,A young pilot finds himself recruited unwittingly into a covert and corrupt CIA airlift organization operating in Vietnam War Era Laos.,5.7,1990,USA,"English, Lao"
3842,Make Them Die Slowly (Cannibal Ferox) (1980),Horror,,,,,
